MOF_name,molecule,fugacity,loading
SR_aca_v1-4c_B_Ch_v2-6c_bicyclooctane_Ch_v3-6c_Zr_1_Ch_1B_4H_Ch_1TrU_Ch_1x1x2,22_DMB,98252.4136891507,1.324410319
SR_ahr_v1-6c_Zr_1_Ch_v2-6c_B_Ch_v3-3c_B_Ch_1B_4F_Ch_2x2x1,22_DMB,98252.4136891507,2.6331787589
SR_albd_v1-4c_Cu_1_Ch_v2-6c_B_Ch_v3-4c_Cu_1_Ch_v4-3c_triazine_Ch_ntn_edge_4B_fused_8H_Ch_2x2x2,22_DMB,98252.4136891507,0.6550762262
SR_asc_v1-3c_triazine_Ch_v2-6c_Cr_1_Ch_v3-4c_1anC_Ch_1B_2CH3_Ch_2x2x2,22_DMB,98252.4136891507,4.1982590323
SR_asd_v1-4c_pyrene_Ch_v2-4c_1anC_Ch_v3-8c_Zr_1_Ch_1TrU_Ch_2x2x2,22_DMB,98252.4136891507,3.856503684
SR_bch_v1-3c_triazine_Ch_v2-3c_pyrrole_Ch_v3-6c_Zr_1_Ch_ntn_edge_1B_4F_Ch_1x1x1,22_DMB,98252.4136891507,1.1233980749
SR_bpq_v1-6c_Zr_1_Ch_v2-4c_B_Ch_ntn_edge_2B_2Br_Ch_1x2x1,22_DMB,98252.4136891507,0.6338057787
SR_brk_v1-3c_B_Ch_v2-3c_triazine_Ch_v3-6c_Zn_1_Ch_4B_fused_8H_Ch_1x1x1,22_DMB,98252.4136891507,3.907184518
SR_brk_v1-3c_triazine_Ch_v2-3c_triazine_Ch_v3-6c_Zn_1_Ch_1B_2SH_Ch_1x1x1,22_DMB,98252.4136891507,5.3014462903
SR_buh_v1-4c_1anC_Ch_v2-12c_Zr_1_Ch_v3-12c_Zr_1_Ch_1B_4H_Ch_1TrU_Ch_1x1x1,22_DMB,98252.4136891507,1.1958710206
SR_cdj_v1-3c_B_Ch_v2-6c_Zr_1_Ch_2B_2F_Ch_1x1x1,22_DMB,98252.4136891507,1.1895980273
SR_cdle_v1-4c_B_Ch_v2-4c_1anC_Ch_v3-4c_Cu_1_Ch_1TrU_Ch_2x2x1,22_DMB,98252.4136891507,4.1797017851
SR_cdm_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_2B_2Br_Ch_1x1x1,22_DMB,98252.4136891507,1.8630253773
SR_cdme_v1-4c_Cu_1_Ch_v2-4c_B_Ch_v3-4c_bicyclooctane_Ch_v4-4c_B_Ch_1DoU_Ch_1TrU_Ch_1B_4H_Ch_2x2x1,22_DMB,98252.4136891507,7.7571496319
SR_cdme_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-4c_bicyclooctane_Ch_v4-4c_Cu_1_Ch_2B_4F_Ch_2x2x1,22_DMB,98252.4136891507,1.1213036857
SR_cdze_v1-4c_bicyclooctane_Ch_v2-4c_Cu_1_Ch_v3-4c_Cu_1_Ch_v4-4c_pyrene_Ch_ntn_edge_1B_4CN_Ch_2x3x1,22_DMB,98252.4136891507,1.8682805371
SR_ceg_v1-3c_B_Ch_v2-6c_Zn_1_Ch_v3-4c_B_Ch_ntn_edge_1B_4Br_Ch_2x2x2,22_DMB,98252.4136891507,1.2445809621
SR_ceg_v1-3c_triazine_Ch_v2-6c_Zn_1_Ch_v3-4c_B_Ch_ntn_edge_2B_2CN_Ch_1x1x6,22_DMB,98252.4136891507,2.0690173181
SR_cep_v1-6c_Zn_1_Ch_v2-6c_Zn_1_Ch_v3-3c_pyrrole_Ch_1B_2Br_Ch_2x2x2,22_DMB,98252.4136891507,3.4265784356
SR_cep_v1-6c_Zr_1_Ch_v2-6c_Zr_1_Ch_v3-3c_pyrrole_Ch_1TrU_Ch_2x2x2,22_DMB,98252.4136891507,1.1643168057
