MOF_name,Load [molecules/UC],Load [mol/kg framework],Enthalpy_Ads [KJ/mol],Host_Ads_vdW [K],Host_Ads_Coul [K],Ads_Ads_vdW [K],Ads_Ads_Coul [K],Ave_Heat_Cap [J/mol/K],Total_E [K],Ave_Dens [kg/m3],Fugacity [Pa],Molecule
SR_aca_v1-4c_B_Ch_v2-6c_bicyclooctane_Ch_v3-6c_Zr_1_Ch_1B_4H_Ch_1TrU_Ch_1x1x2,26.1812000000,1.4461992394,-10.96942,-96968.869089,0.00000,-8989.264184,0.00000,3625.95573,-30833.66402,78.81889,98295.62964388793625,23-dmb_433K_1Bar
SR_ahr_v1-6c_Zr_1_Ch_v2-6c_B_Ch_v3-3c_B_Ch_1B_4F_Ch_2x2x1,152.0352000000,3.2510943687,-11.18111,-525026.813984,0.00000,-92817.648993,0.00000,18335.74559,-182473.97720,162.59355,98295.62964388793625,23-dmb_433K_1Bar
SR_albd_v1-4c_Cu_1_Ch_v2-6c_B_Ch_v3-4c_Cu_1_Ch_v4-3c_triazine_Ch_ntn_edge_4B_fused_8H_Ch_2x2x2,19.5420000000,0.7519942909,-34.47219,-101819.495883,0.00000,-10235.317748,0.00000,2533.17818,-56120.36167,79.70593,98295.62964388793625,23-dmb_433K_1Bar
SR_asc_v1-3c_triazine_Ch_v2-6c_Cr_1_Ch_v3-4c_1anC_Ch_1B_2CH3_Ch_2x2x2,71.2604000000,4.7431678120,-41.17936,-347488.805689,0.00000,-75965.071654,0.00000,9688.65438,-217862.27700,264.17561,98295.62964388793625,23-dmb_433K_1Bar
SR_asd_v1-4c_pyrene_Ch_v2-4c_1anC_Ch_v3-8c_Zr_1_Ch_1TrU_Ch_2x2x2,73.1638000000,4.5719120125,-22.74245,-224892.368397,0.00000,-78875.052487,0.00000,12193.71798,-95342.07850,252.86384,98295.62964388793625,23-dmb_433K_1Bar
SR_asv_v1-4c_Cu_1_Ch_v2-4c_bicyclooctane_Ch_1B_2CH3_Ch_ntn_edge_2x2x2,,,,,,,,,,,,23-dmb_433K_1Bar
SR_bch_v1-3c_triazine_Ch_v2-3c_pyrrole_Ch_v3-6c_Zr_1_Ch_ntn_edge_1B_4F_Ch_1x1x1,22.7246000000,1.2285379019,-25.62712,-117462.862572,0.00000,-10186.982840,0.00000,2493.29153,-62340.87131,122.38064,98295.62964388793625,23-dmb_433K_1Bar
SR_bpq_v1-6c_Zr_1_Ch_v2-4c_B_Ch_ntn_edge_2B_2Br_Ch_1x2x1,17.3290000000,0.6990338811,-0.62178,-39603.520565,0.00000,-2348.785561,0.00000,1601.41094,7475.12811,31.35356,98295.62964388793625,23-dmb_433K_1Bar
SR_brk_v1-3c_B_Ch_v2-3c_triazine_Ch_v3-6c_Zn_1_Ch_4B_fused_8H_Ch_1x1x1,69.4682000000,4.5793290491,-3.72943,-183600.843672,0.00000,-27300.943056,0.00000,6242.78723,-11456.26454,85.36558,98295.62964388793625,23-dmb_433K_1Bar
SR_brk_v1-3c_triazine_Ch_v2-3c_triazine_Ch_v3-6c_Zn_1_Ch_1B_2SH_Ch_1x1x1,75.9970000000,6.1719913006,-15.24287,-226931.038164,0.00000,-71387.726869,0.00000,8921.48200,-79552.87569,253.02517,98295.62964388793625,23-dmb_433K_1Bar
SR_buh_v1-4c_1anC_Ch_v2-12c_Zr_1_Ch_v3-12c_Zr_1_Ch_1B_4H_Ch_1TrU_Ch_1x1x1,26.3634000000,1.6473454173,-38.88347,-172692.651173,0.00000,-10209.569163,0.00000,2300.77957,-107940.65008,155.19044,98295.62964388793625,23-dmb_433K_1Bar
SR_cdj_v1-3c_B_Ch_v2-6c_Zr_1_Ch_2B_2F_Ch_1x1x1,32.8498000000,1.3419109542,2.12695,-67280.341462,0.00000,-4723.969580,0.00000,3589.84947,22002.56816,26.40830,98295.62964388793625,23-dmb_433K_1Bar
SR_cdle_v1-4c_B_Ch_v2-4c_1anC_Ch_v3-4c_Cu_1_Ch_1TrU_Ch_2x2x1,31.9765500000,4.5188957771,-18.42640,-395448.664146,0.00000,-106267.303483,0.00000,13473.17783,-135306.66398,243.80366,98295.62964388793625,23-dmb_433K_1Bar
SR_cdm_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_2B_2Br_Ch_1x1x1,69.4690000000,2.3367959674,-7.21266,-173605.328667,0.00000,-32930.652699,0.00000,7091.16256,-6574.99531,114.72675,98295.62964388793625,23-dmb_433K_1Bar
SR_cdme_v1-4c_Cu_1_Ch_v2-4c_B_Ch_v3-4c_bicyclooctane_Ch_v4-4c_B_Ch_1DoU_Ch_1TrU_Ch_1B_4H_Ch_2x2x1,93.4477500000,8.1500490148,-29.76450,-1351248.598522,0.00000,-510723.016274,0.00000,38838.49907,-792116.34617,362.35584,98295.62964388793625,23-dmb_433K_1Bar
SR_cdme_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-4c_bicyclooctane_Ch_v4-4c_Cu_1_Ch_2B_4F_Ch_2x2x1,52.6444000000,1.2730400899,-1.24791,-120682.440066,0.00000,-9822.880508,0.00000,4969.20023,20364.60214,37.27241,98295.62964388793625,23-dmb_433K_1Bar
SR_cdze_v1-4c_bicyclooctane_Ch_v2-4c_Cu_1_Ch_v3-4c_Cu_1_Ch_v4-4c_pyrene_Ch_ntn_edge_1B_4CN_Ch_2x3x1,32.8038000000,2.0123162447,-6.98841,-153629.031277,0.00000,-16811.192536,0.00000,3154.10599,-76899.80785,125.71824,98295.62964388793625,23-dmb_433K_1Bar
SR_ceg_v1-3c_B_Ch_v2-6c_Zn_1_Ch_v3-4c_B_Ch_ntn_edge_1B_4Br_Ch_2x2x2,41.5422000000,1.4567896819,-27.78473,-264752.320252,0.00000,-21400.083641,0.00000,3819.04336,-168580.65167,177.37387,98295.62964388793625,23-dmb_433K_1Bar
SR_ceg_v1-3c_triazine_Ch_v2-6c_Zn_1_Ch_v3-4c_B_Ch_ntn_edge_2B_2CN_Ch_1x1x6,58.7928000000,2.3007221502,-30.94142,-279277.728192,0.00000,-50720.479269,0.00000,9525.44433,-162104.94249,170.85451,98295.62964388793625,23-dmb_433K_1Bar
SR_cep_v1-6c_Zn_1_Ch_v2-6c_Zn_1_Ch_v3-3c_pyrrole_Ch_1B_2Br_Ch_2x2x2,187.7100000000,3.7726465538,-26.33933,-721887.845299,0.00000,-189460.180461,0.00000,19538.02703,-374951.28076,281.57481,98295.62964388793625,23-dmb_433K_1Bar
SR_cep_v1-6c_Zr_1_Ch_v2-6c_Zr_1_Ch_v3-3c_pyrrole_Ch_1TrU_Ch_2x2x2,50.0448000000,1.4624548016,-9.00515,-164399.991983,0.00000,-20114.758391,0.00000,4661.80070,-40705.71096,96.37471,98295.62964388793625,23-dmb_433K_1Bar
SR_ceq_v1-6c_Cr_1_Ch_v2-6c_Cr_1_Ch_v3-3c_B_Ch_ntn_edge_1B_2OH_Ch_2x2x2,81.7276000000,4.2438531072,-35.64478,-367821.185554,0.00000,-77034.891354,0.00000,11955.86137,-211579.11660,274.75945,98295.62964388793625,23-dmb_433K_1Bar
SR_ceq_v1-6c_Cr_1_Ch_v2-6c_Cr_1_Ch_v3-3c_pyrrole_Ch_ntn_edge_2B_4H_Ch_2x2x1,22.9663000000,2.2034821577,-39.10497,-286787.743614,0.00000,-27440.811081,0.00000,5532.13430,-183532.07925,183.42663,98295.62964388793625,23-dmb_433K_1Bar
SR_ceq_v1-6c_Cr_1_Ch_v2-6c_bicyclooctane_Ch_v3-3c_triazine_Ch_1B_4H_Ch_2x2x2,188.6600000000,9.5464355931,-25.63018,-604806.566488,0.00000,-251185.674611,0.00000,19558.57842,-312992.69192,345.83207,98295.62964388793625,23-dmb_433K_1Bar
SR_ceq_v1-6c_bicyclooctane_Ch_v2-6c_Cr_1_Ch_v3-3c_triazine_Ch_ntn_edge_1TrU_Ch_2x2x2,54.6504000000,4.3164099521,-37.24179,-295774.016650,0.00000,-58342.079187,0.00000,4275.24175,-194596.75249,327.54776,98295.62964388793625,23-dmb_433K_1Bar
SR_cer_v1-3c_triazine_Ch_v2-6c_bicyclooctane_Ch_v3-6c_Zn_1_Ch_1B_2OH_Ch_ntn_edge_2x2x1,80.7070000000,4.3893630399,-35.06845,-369409.932670,0.00000,-84158.013102,0.00000,8656.70036,-223650.67000,301.48933,98295.62964388793625,23-dmb_433K_1Bar
SR_cet_v1-3c_pyrrole_Ch_v2-6c_Zn_1_Ch_v3-6c_bicyclooctane_Ch_ntn_edge_1TrU_Ch_2x2x1,19.9722000000,1.7698997905,inf,-144494.140167,0.00000,-7266.180036,0.00000,1428.73525,-94918.09482,149.90092,98295.62964388793625,23-dmb_433K_1Bar
SR_cet_v1-3c_triazine_Ch_v2-6c_Zr_1_Ch_v3-6c_bicyclooctane_Ch_1B_2NH2_Ch_2x2x1,172.8796000000,5.7961352255,-16.81942,-561347.290447,0.00000,-174367.045868,0.00000,19190.11226,-242136.85945,257.97831,98295.62964388793625,23-dmb_433K_1Bar
SR_cev_v1-4c_B_Ch_v2-4c_Cu_1_Ch_v3-4c_Cu_1_Ch_1B_2CN_Ch_ntn_edge_2x2x1,25.2774000000,0.8366353251,-38.75221,-188578.860197,0.00000,-6192.998620,0.00000,3054.93825,-122258.74296,96.19311,98295.62964388793625,23-dmb_433K_1Bar
SR_cez_v1-4c_Cu_1_Ch_v2-6c_B_Ch_v3-3c_pyrrole_Ch_ntn_edge_2B_2SH_Ch_2x2x1,119.8492000000,3.1664143598,-45.52315,-603563.285728,0.00000,-114851.008521,0.00000,19077.00708,-376301.22033,236.54524,98295.62964388793625,23-dmb_433K_1Bar
