MOF_name,Load [molecules/UC],Load [mol/kg framework],Enthalpy_Ads [KJ/mol],Host_Ads_vdW [K],Host_Ads_Coul [K],Ads_Ads_vdW [K],Ads_Ads_Coul [K],Ave_Heat_Cap [J/mol/K],Total_E [K],Ave_Dens [kg/m3],Fugacity [Pa],Molecule
SR_aca_v1-4c_B_Ch_v2-6c_bicyclooctane_Ch_v3-6c_Zr_1_Ch_1B_4H_Ch_1TrU_Ch_1x1x2,47.5256000000,2.6252229299,-22.69774,-62274.049061,-88687.62984,-5517.095130,-813.56426,20791.19450,-157292.33829,73.05200,99529.86363115794666,co2_313K_1Bar
SR_ahr_v1-6c_Zr_1_Ch_v2-6c_B_Ch_v3-3c_B_Ch_1B_4F_Ch_2x2x1,64.7000000000,1.3835335873,-19.03400,-95405.425922,-44176.88758,-2641.815867,-790.60896,20180.08956,-143014.73833,35.32866,99529.86363115794666,co2_313K_1Bar
SR_albd_v1-4c_Cu_1_Ch_v2-6c_B_Ch_v3-4c_Cu_1_Ch_v4-3c_triazine_Ch_ntn_edge_4B_fused_8H_Ch_2x2x2,43.5440000000,1.6756135198,-25.26248,-102209.428459,-34055.94617,-3940.570477,-1441.07110,17497.37185,-141647.01620,90.68046,99529.86363115794666,co2_313K_1Bar
SR_asc_v1-3c_triazine_Ch_v2-6c_Cr_1_Ch_v3-4c_1anC_Ch_1B_2CH3_Ch_2x2x2,37.8204000000,2.5173659412,-20.02684,-71703.647863,-23117.80093,-2432.061204,-737.06614,12423.36127,-97990.57613,71.58703,99529.86363115794666,co2_313K_1Bar
SR_asd_v1-4c_pyrene_Ch_v2-4c_1anC_Ch_v3-8c_Zr_1_Ch_1TrU_Ch_2x2x2,37.9392000000,2.3707719422,-21.30377,-69508.918754,-28351.90671,-1847.443114,-427.70734,16274.53228,-100135.97592,66.94874,99529.86363115794666,co2_313K_1Bar
SR_asv_v1-4c_Cu_1_Ch_v2-4c_bicyclooctane_Ch_1B_2CH3_Ch_ntn_edge_2x2x2,,,,,,,,,,,,co2_313K_1Bar
SR_bch_v1-3c_triazine_Ch_v2-3c_pyrrole_Ch_v3-6c_Zr_1_Ch_ntn_edge_1B_4F_Ch_1x1x1,58.7776000000,3.1776361029,-27.90864,-107430.186316,-89847.92839,-10337.161789,-1935.18896,16570.93609,-209550.46546,161.61888,99529.86363115794666,co2_313K_1Bar
SR_bpq_v1-6c_Zr_1_Ch_v2-4c_B_Ch_ntn_edge_2B_2Br_Ch_1x2x1,22.5920000000,0.9113378407,-16.94811,-24849.880894,-32307.94792,-676.013857,-98.50693,3921.58923,-57932.34960,20.87045,99529.86363115794666,co2_313K_1Bar
SR_brk_v1-3c_B_Ch_v2-3c_triazine_Ch_v3-6c_Zn_1_Ch_4B_fused_8H_Ch_1x1x1,16.4440000000,1.0839850015,-12.25959,-18741.365182,-1903.41166,-242.101458,-86.60213,2183.14799,-20973.48042,10.31735,99529.86363115794666,co2_313K_1Bar
SR_brk_v1-3c_triazine_Ch_v2-3c_triazine_Ch_v3-6c_Zn_1_Ch_1B_2SH_Ch_1x1x1,19.3152000000,1.5686572676,-18.95427,-30576.334392,-7652.25853,-766.829288,-263.26298,6011.63754,-39258.68519,32.83449,99529.86363115794666,co2_313K_1Bar
SR_buh_v1-4c_1anC_Ch_v2-12c_Zr_1_Ch_v3-12c_Zr_1_Ch_1B_4H_Ch_1TrU_Ch_1x1x1,55.0132000000,3.4375589989,-26.43373,-129826.859108,-34495.87846,-8219.840240,-2578.98514,19305.99079,-175121.56295,165.34621,99529.86363115794666,co2_313K_1Bar
SR_cdj_v1-3c_B_Ch_v2-6c_Zr_1_Ch_2B_2F_Ch_1x1x1,26.0604000000,1.0645646619,-13.45634,-21591.393074,-25359.36968,-458.141274,-62.54787,4263.08790,-47471.45189,10.69677,99529.86363115794666,co2_313K_1Bar
SR_cdle_v1-4c_B_Ch_v2-4c_1anC_Ch_v3-4c_Cu_1_Ch_1TrU_Ch_2x2x1,6.0111000000,0.8494829619,-14.58913,-27944.586612,-7518.61229,-611.895772,-162.96279,3610.54408,-36238.05746,23.40057,99529.86363115794666,co2_313K_1Bar
SR_cdm_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_2B_2Br_Ch_1x1x1,15.7300000000,0.5291252295,-13.79823,-17956.649085,-3448.47011,-205.194763,-65.35143,2911.85176,-21675.66539,13.26374,99529.86363115794666,co2_313K_1Bar
SR_cdme_v1-4c_Cu_1_Ch_v2-4c_B_Ch_v3-4c_bicyclooctane_Ch_v4-4c_B_Ch_1DoU_Ch_1TrU_Ch_1B_4H_Ch_2x2x1,28.5001000000,2.4856372885,-18.94452,-156970.250882,-63116.90700,-8409.021430,-2386.48850,38121.03695,-230882.66781,56.42565,99529.86363115794666,co2_313K_1Bar
SR_cdme_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-4c_bicyclooctane_Ch_v4-4c_Cu_1_Ch_2B_4F_Ch_2x2x1,24.9612000000,0.6036085185,-12.99136,-23690.022768,-8994.55790,-249.946439,-70.65720,4520.48761,-33005.18431,9.02328,99529.86363115794666,co2_313K_1Bar
SR_cdze_v1-4c_bicyclooctane_Ch_v2-4c_Cu_1_Ch_v3-4c_Cu_1_Ch_v4-4c_pyrene_Ch_ntn_edge_1B_4CN_Ch_2x3x1,41.4832000000,2.5447453417,-24.70630,-82722.278854,-42439.31117,-5665.414145,-1964.72714,14659.20089,-132791.73131,81.17273,99529.86363115794666,co2_313K_1Bar
SR_ceg_v1-3c_B_Ch_v2-6c_Zn_1_Ch_v3-4c_B_Ch_ntn_edge_1B_4Br_Ch_2x2x2,44.4516000000,1.5588156676,-23.96603,-101522.100891,-3141.74528,-5023.778222,-1789.58871,21034.97474,-111477.21310,96.90615,99529.86363115794666,co2_313K_1Bar
SR_ceg_v1-3c_triazine_Ch_v2-6c_Zn_1_Ch_v3-4c_B_Ch_ntn_edge_2B_2CN_Ch_1x1x6,86.5156000000,3.3855907060,-24.95005,-180868.404923,-97963.13361,-11781.375700,-2603.57107,24561.84647,-293216.48530,128.36910,99529.86363115794666,co2_313K_1Bar
SR_cep_v1-6c_Zn_1_Ch_v2-6c_Zn_1_Ch_v3-3c_pyrrole_Ch_1B_2Br_Ch_2x2x2,46.2952000000,0.9304535014,-18.16727,-79200.841572,-6438.43087,-1892.410687,-622.48115,15591.70486,-88154.16428,35.45734,99529.86363115794666,co2_313K_1Bar
SR_cep_v1-6c_Zr_1_Ch_v2-6c_Zr_1_Ch_v3-3c_pyrrole_Ch_1TrU_Ch_2x2x2,79.5368000000,2.3242969312,-23.37892,-99619.822683,-118428.23580,-6571.029266,-1572.62233,35919.20362,-226191.71008,78.20527,99529.86363115794666,co2_313K_1Bar
