MOF_name,molecule,fugacity,loading
SR_aca_v1-4c_B_Ch_v2-6c_bicyclooctane_Ch_v3-6c_Zr_1_Ch_1B_4H_Ch_1TrU_Ch_1x1x2,H2,499640.89963272936,1.5782072047
SR_ahr_v1-6c_Zr_1_Ch_v2-6c_B_Ch_v3-3c_B_Ch_1B_4F_Ch_2x2x1,H2,499640.89963272936,1.7179231773
SR_albd_v1-4c_Cu_1_Ch_v2-6c_B_Ch_v3-4c_Cu_1_Ch_v4-3c_triazine_Ch_ntn_edge_4B_fused_8H_Ch_2x2x2,H2,499640.89963272936,1.2579415295
SR_asc_v1-3c_triazine_Ch_v2-6c_Cr_1_Ch_v3-4c_1anC_Ch_1B_2CH3_Ch_2x2x2,H2,499640.89963272936,2.424919284
SR_asd_v1-4c_pyrene_Ch_v2-4c_1anC_Ch_v3-8c_Zr_1_Ch_1TrU_Ch_2x2x2,H2,499640.89963272936,2.0123554066
SR_asv_v1-4c_Cu_1_Ch_v2-4c_bicyclooctane_Ch_1B_2CH3_Ch_ntn_edge_2x2x2,H2,499640.89963272936,3.2423940471
SR_bch_v1-3c_triazine_Ch_v2-3c_pyrrole_Ch_v3-6c_Zr_1_Ch_ntn_edge_1B_4F_Ch_1x1x1,H2,499640.89963272936,1.3808252212
SR_bpq_v1-6c_Zr_1_Ch_v2-4c_B_Ch_ntn_edge_2B_2Br_Ch_1x2x1,H2,499640.89963272936,1.262730543
SR_brk_v1-3c_B_Ch_v2-3c_triazine_Ch_v3-6c_Zn_1_Ch_4B_fused_8H_Ch_1x1x1,H2,499640.89963272936,3.3260818067
SR_brk_v1-3c_triazine_Ch_v2-3c_triazine_Ch_v3-6c_Zn_1_Ch_1B_2SH_Ch_1x1x1,H2,499640.89963272936,2.1547190967
SR_buh_v1-4c_1anC_Ch_v2-12c_Zr_1_Ch_v3-12c_Zr_1_Ch_1B_4H_Ch_1TrU_Ch_1x1x1,H2,499640.89963272936,2.2129443833
SR_cdj_v1-3c_B_Ch_v2-6c_Zr_1_Ch_2B_2F_Ch_1x1x1,H2,499640.89963272936,2.6498715588
SR_cdle_v1-4c_B_Ch_v2-4c_1anC_Ch_v3-4c_Cu_1_Ch_1TrU_Ch_2x2x1,H2,499640.89963272936,1.7265478701
SR_cdm_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_2B_2Br_Ch_1x1x1,H2,499640.89963272936,1.3653482837
SR_cdme_v1-4c_Cu_1_Ch_v2-4c_B_Ch_v3-4c_bicyclooctane_Ch_v4-4c_B_Ch_1DoU_Ch_1TrU_Ch_1B_4H_Ch_2x2x1,H2,499640.89963272936,2.3706137364
SR_cdme_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-4c_bicyclooctane_Ch_v4-4c_Cu_1_Ch_2B_4F_Ch_2x2x1,H2,499640.89963272936,1.9283712123
SR_cdze_v1-4c_bicyclooctane_Ch_v2-4c_Cu_1_Ch_v3-4c_Cu_1_Ch_v4-4c_pyrene_Ch_ntn_edge_1B_4CN_Ch_2x3x1,H2,499640.89963272936,1.703798875
SR_ceg_v1-3c_B_Ch_v2-6c_Zn_1_Ch_v3-4c_B_Ch_ntn_edge_1B_4Br_Ch_2x2x2,H2,499640.89963272936,1.4461746871
SR_ceg_v1-3c_triazine_Ch_v2-6c_Zn_1_Ch_v3-4c_B_Ch_ntn_edge_2B_2CN_Ch_1x1x6,H2,499640.89963272936,2.0072737133
SR_cep_v1-6c_Zn_1_Ch_v2-6c_Zn_1_Ch_v3-3c_pyrrole_Ch_1B_2Br_Ch_2x2x2,H2,499640.89963272936,1.4668221039
SR_cep_v1-6c_Zr_1_Ch_v2-6c_Zr_1_Ch_v3-3c_pyrrole_Ch_1TrU_Ch_2x2x2,H2,499640.89963272936,1.2353255603
SR_ceq_v1-6c_Cr_1_Ch_v2-6c_Cr_1_Ch_v3-3c_B_Ch_ntn_edge_1B_2OH_Ch_2x2x2,H2,499640.89963272936,2.1881695781
SR_ceq_v1-6c_Cr_1_Ch_v2-6c_Cr_1_Ch_v3-3c_pyrrole_Ch_ntn_edge_2B_4H_Ch_2x2x1,H2,499640.89963272936,2.2112728228
SR_ceq_v1-6c_Cr_1_Ch_v2-6c_bicyclooctane_Ch_v3-3c_triazine_Ch_1B_4H_Ch_2x2x2,H2,499640.89963272936,2.5913922379
SR_ceq_v1-6c_bicyclooctane_Ch_v2-6c_Cr_1_Ch_v3-3c_triazine_Ch_ntn_edge_1TrU_Ch_2x2x2,H2,499640.89963272936,2.302213259
SR_cer_v1-3c_triazine_Ch_v2-6c_bicyclooctane_Ch_v3-6c_Zn_1_Ch_1B_2OH_Ch_ntn_edge_2x2x1,H2,499640.89963272936,1.7475165539
SR_cet_v1-3c_pyrrole_Ch_v2-6c_Zn_1_Ch_v3-6c_bicyclooctane_Ch_ntn_edge_1TrU_Ch_2x2x1,H2,499640.89963272936,2.5080271037
SR_cet_v1-3c_triazine_Ch_v2-6c_Zr_1_Ch_v3-6c_bicyclooctane_Ch_1B_2NH2_Ch_2x2x1,H2,499640.89963272936,2.1966390816
SR_cev_v1-4c_B_Ch_v2-4c_Cu_1_Ch_v3-4c_Cu_1_Ch_1B_2CN_Ch_ntn_edge_2x2x1,H2,499640.89963272936,1.6419498653
SR_cez_v1-4c_Cu_1_Ch_v2-6c_B_Ch_v3-3c_pyrrole_Ch_ntn_edge_2B_2SH_Ch_2x2x1,H2,499640.89963272936,2.073361355
