MOF_name,Load [molecules/UC],Load [mol/kg framework],Enthalpy_Ads [KJ/mol],Host_Ads_vdW [K],Host_Ads_Coul [K],Ads_Ads_vdW [K],Ads_Ads_Coul [K],Ave_Heat_Cap [J/mol/K],Total_E [K],Ave_Dens [kg/m3],Fugacity [Pa],Molecule
SR_aca_v1-4c_B_Ch_v2-6c_bicyclooctane_Ch_v3-6c_Zr_1_Ch_1B_4H_Ch_1TrU_Ch_1x1x2,590.3015000000,32.6071219163,-2.57461,-173832.206983,0.00000,-40839.237482,-1775.68278,14852.53670,-216447.12724,41.57213,8016139.59684940520674,h2_77K_100Bar
SR_ahr_v1-6c_Zr_1_Ch_v2-6c_B_Ch_v3-3c_B_Ch_1B_4F_Ch_2x2x1,1902.6515000000,40.6859699419,-3.08367,-593554.944064,0.00000,-145102.656814,-6641.90401,52239.35460,-745299.50488,47.59990,8016139.59684940520674,h2_77K_100Bar
SR_albd_v1-4c_Cu_1_Ch_v2-6c_B_Ch_v3-4c_Cu_1_Ch_v4-3c_triazine_Ch_ntn_edge_4B_fused_8H_Ch_2x2x2,343.4095000000,13.2147161726,-4.64697,-225607.622824,0.00000,-18457.098052,-1226.25690,8850.63563,-245290.97778,32.76586,8016139.59684940520674,h2_77K_100Bar
SR_asc_v1-3c_triazine_Ch_v2-6c_Cr_1_Ch_v3-4c_1anC_Ch_1B_2CH3_Ch_2x2x2,562.9575000000,37.4710483458,-4.95050,-284783.391295,0.00000,-44188.274080,-2372.41266,15854.64140,-331344.07804,48.82111,8016139.59684940520674,h2_77K_100Bar
SR_asd_v1-4c_pyrene_Ch_v2-4c_1anC_Ch_v3-8c_Zr_1_Ch_1TrU_Ch_2x2x2,599.6645000000,37.4722653969,-3.45848,-221052.158919,0.00000,-45295.086711,-2178.08224,15398.86268,-268525.32787,48.48266,8016139.59684940520674,h2_77K_100Bar
SR_asv_v1-4c_Cu_1_Ch_v2-4c_bicyclooctane_Ch_1B_2CH3_Ch_ntn_edge_2x2x2,957.5020000000,53.4225622893,-2.94032,-355439.786625,0.00000,-74710.673961,-3552.00402,17100.10284,-433702.46461,50.33315,8016139.59684940520674,h2_77K_100Bar
SR_bch_v1-3c_triazine_Ch_v2-3c_pyrrole_Ch_v3-6c_Zr_1_Ch_ntn_edge_1B_4F_Ch_1x1x1,291.5840000000,15.7636216078,-5.01436,-159503.192348,0.00000,-17039.045671,-1054.07262,6684.75365,-177596.31063,36.73396,8016139.59684940520674,h2_77K_100Bar
SR_bpq_v1-6c_Zr_1_Ch_v2-4c_B_Ch_ntn_edge_2B_2Br_Ch_1x2x1,984.1435000000,39.6993277368,-2.21127,-197784.492317,0.00000,-67692.470196,-2762.92770,19833.28332,-268239.89022,41.65426,8016139.59684940520674,h2_77K_100Bar
SR_brk_v1-3c_B_Ch_v2-3c_triazine_Ch_v3-6c_Zn_1_Ch_4B_fused_8H_Ch_1x1x1,1648.3600000000,108.6595425158,-2.67420,-324592.711951,0.00000,-123882.918187,-5064.23774,57857.65663,-453539.86788,47.38451,8016139.59684940520674,h2_77K_100Bar
SR_brk_v1-3c_triazine_Ch_v2-3c_triazine_Ch_v3-6c_Zn_1_Ch_1B_2SH_Ch_1x1x1,678.1560000000,55.0755020914,-3.54735,-209312.070768,0.00000,-55669.353968,-2522.73352,24192.51453,-267504.15825,52.81831,8016139.59684940520674,h2_77K_100Bar
SR_buh_v1-4c_1anC_Ch_v2-12c_Zr_1_Ch_v3-12c_Zr_1_Ch_1B_4H_Ch_1TrU_Ch_1x1x1,299.1965000000,18.6956152526,-5.43298,-194737.143955,0.00000,-17754.339674,-1326.44569,5137.30245,-213817.92931,41.20099,8016139.59684940520674,h2_77K_100Bar
SR_cdj_v1-3c_B_Ch_v2-6c_Zr_1_Ch_2B_2F_Ch_1x1x1,2246.7360000000,91.7789347132,-2.16709,-344283.966623,0.00000,-154635.920510,-5865.34113,60529.22928,-504785.22826,42.25202,8016139.59684940520674,h2_77K_100Bar
SR_cdle_v1-4c_B_Ch_v2-4c_1anC_Ch_v3-4c_Cu_1_Ch_1TrU_Ch_2x2x1,294.6692500000,41.6423794767,-3.69823,-379784.425390,0.00000,-96236.044479,-4546.95305,26067.90289,-480567.42292,52.55706,8016139.59684940520674,h2_77K_100Bar
SR_cdm_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_2B_2Br_Ch_1x1x1,1320.3300000000,44.4132176899,-3.26494,-319062.907757,0.00000,-106111.792853,-4569.25393,45540.48178,-429743.95454,51.00864,8016139.59684940520674,h2_77K_100Bar
SR_cdme_v1-4c_Cu_1_Ch_v2-4c_B_Ch_v3-4c_bicyclooctane_Ch_v4-4c_B_Ch_1DoU_Ch_1TrU_Ch_1B_4H_Ch_2x2x1,602.2392500000,52.5243187360,-4.24298,-852059.989593,0.00000,-207687.317949,-9787.29618,74444.27542,-1069534.60372,54.62898,8016139.59684940520674,h2_77K_100Bar
SR_cdme_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-4c_bicyclooctane_Ch_v4-4c_Cu_1_Ch_2B_4F_Ch_2x2x1,2770.4185000000,66.9939027961,-2.59150,-506227.833638,0.00000,-202368.807609,-8047.71232,84689.81929,-716644.35356,45.88474,8016139.59684940520674,h2_77K_100Bar
SR_cdze_v1-4c_bicyclooctane_Ch_v2-4c_Cu_1_Ch_v3-4c_Cu_1_Ch_v4-4c_pyrene_Ch_ntn_edge_1B_4CN_Ch_2x3x1,479.1555000000,29.3933140784,-3.10546,-182870.197198,0.00000,-33950.682078,-1684.49327,12876.90828,-218505.37255,42.95742,8016139.59684940520674,h2_77K_100Bar
SR_ceg_v1-3c_B_Ch_v2-6c_Zn_1_Ch_v3-4c_B_Ch_ntn_edge_1B_4Br_Ch_2x2x2,447.9055000000,15.7070186672,-5.65505,-283627.041754,0.00000,-29630.745706,-2181.76511,11221.18201,-315439.55256,44.73775,8016139.59684940520674,h2_77K_100Bar
SR_ceg_v1-3c_triazine_Ch_v2-6c_Zn_1_Ch_v3-4c_B_Ch_ntn_edge_2B_2CN_Ch_1x1x6,555.1135000000,21.7231008786,-4.56726,-292118.489907,0.00000,-36456.188891,-2201.07284,17933.93504,-330775.75164,37.73738,8016139.59684940520674,h2_77K_100Bar
SR_cep_v1-6c_Zn_1_Ch_v2-6c_Zn_1_Ch_v3-3c_pyrrole_Ch_1B_2Br_Ch_2x2x2,1494.7150000000,30.0411879693,-3.98012,-582998.109128,0.00000,-121799.982846,-5798.82151,41637.43067,-710596.91348,52.45083,8016139.59684940520674,h2_77K_100Bar
SR_cep_v1-6c_Zr_1_Ch_v2-6c_Zr_1_Ch_v3-3c_pyrrole_Ch_1TrU_Ch_2x2x2,997.4585000000,29.1486422708,-3.55261,-322891.242981,0.00000,-73893.788771,-3392.21528,25935.62057,-400177.24703,44.93519,8016139.59684940520674,h2_77K_100Bar
SR_ceq_v1-6c_Cr_1_Ch_v2-6c_Cr_1_Ch_v3-3c_B_Ch_ntn_edge_1B_2OH_Ch_2x2x2,646.7465000000,33.5834790645,-4.64999,-283051.665642,0.00000,-51071.961607,-2663.20074,20132.31380,-336786.82798,50.86342,8016139.59684940520674,h2_77K_100Bar
SR_ceq_v1-6c_Cr_1_Ch_v2-6c_Cr_1_Ch_v3-3c_pyrrole_Ch_ntn_edge_2B_4H_Ch_2x2x1,227.5465000000,21.8317557815,-5.46144,-286483.605136,0.00000,-27675.005457,-1861.42170,9577.52921,-316020.03230,42.51372,8016139.59684940520674,h2_77K_100Bar
SR_ceq_v1-6c_Cr_1_Ch_v2-6c_bicyclooctane_Ch_v3-3c_triazine_Ch_1B_4H_Ch_2x2x2,1260.3485000000,63.7752347087,-3.48311,-418175.135625,0.00000,-106580.939706,-4916.77186,31328.80998,-529672.84719,54.04602,8016139.59684940520674,h2_77K_100Bar
SR_ceq_v1-6c_bicyclooctane_Ch_v2-6c_Cr_1_Ch_v3-3c_triazine_Ch_ntn_edge_1TrU_Ch_2x2x2,369.3015000000,29.1682525643,-5.82577,-180658.075319,0.00000,-28918.206942,-1571.91242,7440.07913,-211148.19469,51.77856,8016139.59684940520674,h2_77K_100Bar
SR_cer_v1-3c_triazine_Ch_v2-6c_bicyclooctane_Ch_v3-6c_Zn_1_Ch_1B_2OH_Ch_ntn_edge_2x2x1,578.4875000000,31.4618515312,-4.68445,-251007.272706,0.00000,-45522.084957,-2335.92999,14372.49610,-298865.28765,50.55247,8016139.59684940520674,h2_77K_100Bar
