MOF_name,molecule,fugacity,loading
OPT_acs_sym_7_mc_4_1B_2Br,22_DMB,98252.4136891507,3.0567290883
OPT_acs_sym_7_mc_4_2B_2CH3,22_DMB,98252.4136891507,5.9405840531
OPT_act_sym_6_mc_3_sym_3_on_2_1B_2CH3_1B_2CH3,22_DMB,98252.4136891507,7.5362535102
OPT_act_sym_6_mc_3_sym_3_on_2_1B_2SH_1B_2SH,22_DMB,98252.4136891507,6.7155602702
OPT_act_sym_6_mc_3_sym_3_on_2_ntn_edge_1B_4Br,22_DMB,98252.4136891507,0.5916133816
OPT_apo_sym_6_mc_3_sym_3_on_1_1B_4F,22_DMB,98252.4136891507,3.642338626
OPT_apo_sym_6_mc_3_sym_3_on_2_1B_2CF3,22_DMB,98252.4136891507,3.3926023689
OPT_apo_sym_6_mc_3_sym_3_on_2_2B_2CF3,22_DMB,98252.4136891507,1.393863389
OPT_bcu_sym_8_mc_9_2B_2OH,22_DMB,98252.4136891507,3.3328533956
OPT_ceq_sym_3_on_1_sym_7_mc_4_1B_2NH2_ntn_edge,22_DMB,98252.4136891507,4.24213359
OPT_ceq_sym_3_on_1_sym_7_mc_4_2B_2Br_2B_2Br,22_DMB,98252.4136891507,1.6311256958
OPT_ceq_sym_3_on_1_sym_7_mc_4_2B_4F_2B_4F,22_DMB,98252.4136891507,1.2640191048
OPT_ceq_sym_3_on_2_sym_7_mc_4_1B_2NO2_ntn_edge,22_DMB,98252.4136891507,2.9789352735
OPT_ceq_sym_3_on_2_sym_7_mc_4_2B_2F_2B_2F,22_DMB,98252.4136891507,2.0109985143
OPT_csq_sym_5_on_9_sym_8_mc_9_1B_2CN,22_DMB,98252.4136891507,1.0502367645
OPT_csq_sym_5_on_9_sym_8_mc_9_2B_2CH3,22_DMB,98252.4136891507,3.2389098867
OPT_csq_sym_8_mc_9_sym_5_on_11_1B_2CN,22_DMB,98252.4136891507,3.0470250263
OPT_csq_sym_8_mc_9_sym_5_on_11_2B_2F,22_DMB,98252.4136891507,3.1085547665
OPT_cut_sym_8_mc_9_sym_3_on_2_1B_2CH3_ntn_edge,22_DMB,98252.4136891507,5.1624473555
OPT_cut_sym_8_mc_9_sym_3_on_2_1B_4Br_ntn_edge,22_DMB,98252.4136891507,2.3087064609
OPT_cut_sym_8_mc_9_sym_3_on_2_2B_2NH2_2B_2NH2,22_DMB,98252.4136891507,2.356695018
OPT_cut_sym_8_mc_9_sym_3_on_2_ntn_edge_1B_2F,22_DMB,98252.4136891507,4.2178079137
OPT_dag_sym_3_on_1_sym_7_mc_4_1B_2CH3,22_DMB,98252.4136891507,6.6310958857
OPT_dag_sym_3_on_1_sym_7_mc_4_2B_2CF3,22_DMB,98252.4136891507,1.3511329778
OPT_dag_sym_3_on_2_sym_7_mc_4_1B_2CH3,22_DMB,98252.4136891507,6.9128274625
OPT_dag_sym_3_on_2_sym_7_mc_4_2B_2F,22_DMB,98252.4136891507,2.1498365703
OPT_edq_sym_3_on_1_sym_7_mc_4_1B_2Br_1B_2Br,22_DMB,98252.4136891507,3.9873146962
OPT_edq_sym_3_on_1_sym_7_mc_4_1B_2OH_1B_2OH,22_DMB,98252.4136891507,4.5683597957
OPT_edq_sym_3_on_1_sym_7_mc_4_2B_2CF3_2B_2CF3,22_DMB,98252.4136891507,1.5456559393
OPT_edq_sym_3_on_1_sym_7_mc_4_ntn_edge_1B_2F,22_DMB,98252.4136891507,1.5691619926
OPT_edq_sym_3_on_2_sym_7_mc_4_1B_2CN_ntn_edge,22_DMB,98252.4136891507,4.4261962428
OPT_edq_sym_3_on_2_sym_7_mc_4_1B_4Br_1B_4Br,22_DMB,98252.4136891507,2.809421913
OPT_edq_sym_3_on_2_sym_7_mc_4_2B_2OH_2B_2OH,22_DMB,98252.4136891507,1.9387492397
