MOF_name,Load [molecules/UC],Load [mol/kg framework],Enthalpy_Ads [KJ/mol],Host_Ads_vdW [K],Host_Ads_Coul [K],Ads_Ads_vdW [K],Ads_Ads_Coul [K],Ave_Heat_Cap [J/mol/K],Total_E [K],Ave_Dens [kg/m3],Fugacity [Pa],Molecule
OPT_acs_sym_7_mc_4_1B_2Br,57.4214000000,3.1544475576,-39.21417,-270623.351446,0.00000,-59554.021077,0.00000,7092.11061,-164496.21703,295.90257,98295.62964388793625,23-dmb_433K_1Bar
OPT_acs_sym_7_mc_4_2B_2CH3,120.3122000000,7.0875840843,-17.44492,-352610.430690,0.00000,-117701.796503,0.00000,17143.31683,-125303.30366,256.70700,98295.62964388793625,23-dmb_433K_1Bar
OPT_act_sym_6_mc_3_sym_3_on_2_1B_2CH3_1B_2CH3,209.3490000000,8.4519783664,-22.07788,-657189.982315,0.00000,-244260.505447,0.00000,23132.22147,-300419.29139,306.24552,98295.62964388793625,23-dmb_433K_1Bar
OPT_act_sym_6_mc_3_sym_3_on_2_1B_2SH_1B_2SH,214.8992000000,7.3852605246,-27.56785,-695575.146344,0.00000,-257043.920304,0.00000,34083.21646,-336010.25514,314.14481,98295.62964388793625,23-dmb_433K_1Bar
OPT_act_sym_6_mc_3_sym_3_on_2_ntn_edge_1B_4Br,15.0166000000,0.6929165372,-43.16195,-122096.042405,0.00000,-3462.860147,0.00000,1141.75090,-81452.56543,105.93171,98295.62964388793625,23-dmb_433K_1Bar
OPT_apo_sym_6_mc_3_sym_3_on_1_1B_4F,58.2606000000,4.5913694985,-11.25214,-154189.035435,0.00000,-47605.338841,0.00000,6493.10897,-34033.49726,211.81923,98295.62964388793625,23-dmb_433K_1Bar
OPT_apo_sym_6_mc_3_sym_3_on_2_1B_2CF3,60.7208000000,3.8637844160,-16.34411,-205219.832155,0.00000,-47914.032052,0.00000,6921.42152,-79214.74361,218.39848,98295.62964388793625,23-dmb_433K_1Bar
OPT_apo_sym_6_mc_3_sym_3_on_2_2B_2CF3,21.6044000000,1.6685643632,-3.30089,-60229.246001,0.00000,-4745.176469,0.00000,2289.26519,-3249.62932,57.38573,98295.62964388793625,23-dmb_433K_1Bar
OPT_bcu_sym_8_mc_9_1B_2CH3,,,,,,,,,,,,23-dmb_433K_1Bar
OPT_bcu_sym_8_mc_9_2B_2OH,115.1920000000,3.5355867227,-24.92302,-441126.492743,0.00000,-108328.456851,0.00000,14057.88548,-218362.87423,250.35969,98295.62964388793625,23-dmb_433K_1Bar
OPT_ceq_sym_3_on_1_sym_7_mc_4_1B_2NH2_ntn_edge,88.7140000000,4.5952432849,-32.31772,-406824.128330,0.00000,-91718.681794,0.00000,9596.01946,-242191.03094,298.77178,98295.62964388793625,23-dmb_433K_1Bar
