MOF_name,molecule,fugacity,loading
OPT_acs_sym_7_mc_4_1B_2Br,CO2,99529.86363115793,1.7888390901
OPT_acs_sym_7_mc_4_2B_2CH3,CO2,99529.86363115793,1.5737671765
OPT_act_sym_6_mc_3_sym_3_on_2_1B_2CH3_1B_2CH3,CO2,99529.86363115793,1.1684820022
OPT_act_sym_6_mc_3_sym_3_on_2_1B_2SH_1B_2SH,CO2,99529.86363115793,1.5159875908
OPT_act_sym_6_mc_3_sym_3_on_2_ntn_edge_1B_4Br,CO2,99529.86363115793,1.6978360882
OPT_apo_sym_6_mc_3_sym_3_on_1_1B_4F,CO2,99529.86363115793,0.795450908
OPT_apo_sym_6_mc_3_sym_3_on_2_1B_2CF3,CO2,99529.86363115793,0.8814810206
OPT_apo_sym_6_mc_3_sym_3_on_2_2B_2CF3,CO2,99529.86363115793,0.6808827566
OPT_bcu_sym_8_mc_9_2B_2OH,CO2,99529.86363115793,1.9387164753
OPT_ceq_sym_3_on_1_sym_7_mc_4_1B_2NH2_ntn_edge,CO2,99529.86363115793,4.3323353243
OPT_ceq_sym_3_on_1_sym_7_mc_4_2B_2Br_2B_2Br,CO2,99529.86363115793,0.7331219366
OPT_ceq_sym_3_on_1_sym_7_mc_4_2B_4F_2B_4F,CO2,99529.86363115793,0.902324009
OPT_ceq_sym_3_on_2_sym_7_mc_4_1B_2NO2_ntn_edge,CO2,99529.86363115793,3.6625485817
OPT_ceq_sym_3_on_2_sym_7_mc_4_2B_2F_2B_2F,CO2,99529.86363115793,0.8868650856
OPT_csq_sym_5_on_9_sym_8_mc_9_1B_2CN,CO2,99529.86363115793,2.3703141021
OPT_csq_sym_5_on_9_sym_8_mc_9_2B_2CH3,CO2,99529.86363115793,1.3771199624
OPT_csq_sym_8_mc_9_sym_5_on_11_1B_2CN,CO2,99529.86363115793,2.5448963713
OPT_csq_sym_8_mc_9_sym_5_on_11_2B_2F,CO2,99529.86363115793,1.018403618
OPT_cut_sym_8_mc_9_sym_3_on_2_1B_2CH3_ntn_edge,CO2,99529.86363115793,1.8253998246
OPT_cut_sym_8_mc_9_sym_3_on_2_1B_4Br_ntn_edge,CO2,99529.86363115793,0.833981687
OPT_cut_sym_8_mc_9_sym_3_on_2_2B_2NH2_2B_2NH2,CO2,99529.86363115793,1.351436296
OPT_cut_sym_8_mc_9_sym_3_on_2_ntn_edge_1B_2F,CO2,99529.86363115793,1.2961739441
OPT_dag_sym_3_on_1_sym_7_mc_4_1B_2CH3,CO2,99529.86363115793,2.5625157197
OPT_dag_sym_3_on_1_sym_7_mc_4_2B_2CF3,CO2,99529.86363115793,0.8801959505
OPT_dag_sym_3_on_2_sym_7_mc_4_1B_2CH3,CO2,99529.86363115793,2.3042345367
