MOF_name,Load [molecules/UC],Load [mol/kg framework],Enthalpy_Ads [KJ/mol],Host_Ads_vdW [K],Host_Ads_Coul [K],Ads_Ads_vdW [K],Ads_Ads_Coul [K],Ave_Heat_Cap [J/mol/K],Total_E [K],Ave_Dens [kg/m3],Fugacity [Pa],Molecule
OPT_acs_sym_7_mc_4_1B_2Br,32.5628000000,1.7888390901,-22.34099,-54439.936965,-21101.20335,-2601.717194,-920.13373,17549.53177,-79062.99124,85.67625,99529.86363115794666,co2_313K_1Bar
OPT_acs_sym_7_mc_4_2B_2CH3,26.7148000000,1.5737671765,-18.04519,-38335.015698,-20746.65124,-723.976886,-229.63446,5393.19403,-60035.27829,29.10340,99529.86363115794666,co2_313K_1Bar
OPT_act_sym_6_mc_3_sym_3_on_2_1B_2CH3_1B_2CH3,28.9424000000,1.1684820022,-15.58625,-42067.496227,-4012.02899,-699.288977,-231.98922,7346.11383,-47010.80341,21.61709,99529.86363115794666,co2_313K_1Bar
OPT_act_sym_6_mc_3_sym_3_on_2_1B_2SH_1B_2SH,44.1128000000,1.5159875908,-17.16111,-67037.503292,-14983.79929,-1556.598391,-430.78106,11750.37996,-84008.68203,32.92483,99529.86363115794666,co2_313K_1Bar
OPT_act_sym_6_mc_3_sym_3_on_2_ntn_edge_1B_4Br,36.7948000000,1.6978360882,-30.82344,-104826.034361,-12290.96632,-4569.220725,-1591.89528,11952.04193,-123278.11669,132.52706,99529.86363115794666,co2_313K_1Bar
OPT_apo_sym_6_mc_3_sym_3_on_1_1B_4F,10.0936000000,0.7954509080,-15.19835,-12867.700817,-3432.13521,-213.676450,-52.80557,2020.53706,-16566.31806,18.73701,99529.86363115794666,co2_313K_1Bar
OPT_apo_sym_6_mc_3_sym_3_on_2_1B_2CF3,13.8528000000,0.8814810206,-16.27636,-20353.644078,-2912.74629,-519.248523,-149.07450,3207.39822,-23934.71339,25.43979,99529.86363115794666,co2_313K_1Bar
OPT_apo_sym_6_mc_3_sym_3_on_2_2B_2CF3,8.8160000000,0.6808827566,-14.76998,-11395.421781,-2092.72733,-123.390292,-31.74847,1732.78036,-13643.28787,11.95631,99529.86363115794666,co2_313K_1Bar
OPT_bcu_sym_8_mc_9_1B_2CH3,,,,,,,,,,,,co2_313K_1Bar
OPT_bcu_sym_8_mc_9_2B_2OH,63.1648000000,1.9387164753,-22.13492,-96352.756087,-56048.02157,-4315.284732,-1141.20203,24510.73266,-157857.26443,70.09402,99529.86363115794666,co2_313K_1Bar
OPT_ceq_sym_3_on_1_sym_7_mc_4_1B_2NH2_ntn_edge,83.6384000000,4.3323353243,-25.75719,-132460.994714,-91569.68595,-13692.611657,-3987.97008,37690.74664,-241711.26240,143.81921,99529.86363115794666,co2_313K_1Bar
OPT_ceq_sym_3_on_1_sym_7_mc_4_2B_2Br_2B_2Br,7.4752000000,0.7331219366,-16.00940,-9807.135388,-3246.08638,-136.942392,-41.78091,1935.56266,-13231.94507,14.71825,99529.86363115794666,co2_313K_1Bar
OPT_ceq_sym_3_on_1_sym_7_mc_4_2B_4F_2B_4F,6.4124000000,0.9023240090,-15.50634,-6883.841554,-4296.94410,-93.732713,-37.49949,1542.67133,-11312.01786,12.53500,99529.86363115794666,co2_313K_1Bar
OPT_ceq_sym_3_on_2_sym_7_mc_4_1B_2NO2_ntn_edge,80.7288000000,3.6625485817,-24.48311,-130299.184597,-81287.64358,-11547.653816,-3027.50382,31349.80228,-226161.98582,134.60018,99529.86363115794666,co2_313K_1Bar
OPT_ceq_sym_3_on_2_sym_7_mc_4_2B_2F_2B_2F,5.1380000000,0.8868650856,-13.83597,-5310.324967,-1919.27870,-57.776553,-19.75331,963.33559,-7307.13353,9.88503,99529.86363115794666,co2_313K_1Bar
OPT_csq_sym_5_on_9_sym_8_mc_9_1B_2CN,49.6760000000,2.3703141021,-26.34414,-98451.334030,-37544.67114,-8317.785267,-2524.73302,28505.88816,-146838.52346,78.12506,99529.86363115794666,co2_313K_1Bar
OPT_csq_sym_5_on_9_sym_8_mc_9_2B_2CH3,24.6732000000,1.3771199624,-19.54243,-45588.545779,-10691.48788,-884.414798,-186.80221,9080.46398,-57351.25067,22.51921,99529.86363115794666,co2_313K_1Bar
OPT_csq_sym_8_mc_9_sym_5_on_11_1B_2CN,39.3476000000,2.5448963713,-21.68607,-74555.420364,-27097.97121,-3867.876949,-1037.57673,12339.43348,-106558.84526,62.88655,99529.86363115794666,co2_313K_1Bar
OPT_csq_sym_8_mc_9_sym_5_on_11_2B_2F,20.5384000000,1.0184036180,-15.58397,-26231.846284,-5183.83046,-475.243052,-146.14255,4839.27773,-32037.06235,13.89896,99529.86363115794666,co2_313K_1Bar
OPT_cut_sym_8_mc_9_sym_3_on_2_1B_2CH3_ntn_edge,33.6616000000,1.8253998246,-19.87255,-73224.703704,-11113.14615,-2613.004565,-838.95737,8268.53081,-87789.81179,51.09592,99529.86363115794666,co2_313K_1Bar
OPT_cut_sym_8_mc_9_sym_3_on_2_1B_4Br_ntn_edge,30.7260000000,0.8339816870,-19.54115,-69335.959477,-5938.57322,-1632.679006,-799.64806,7019.32797,-77706.85977,46.15584,99529.86363115794666,co2_313K_1Bar
OPT_cut_sym_8_mc_9_sym_3_on_2_2B_2NH2_2B_2NH2,9.7152000000,1.3514362960,-15.53827,-13279.392535,-3610.89278,-267.141377,-87.78120,2337.67485,-17245.20788,14.04022,99529.86363115794666,co2_313K_1Bar
OPT_cut_sym_8_mc_9_sym_3_on_2_ntn_edge_1B_2F,26.3804000000,1.2961739441,-20.73288,-46237.426207,-12123.29036,-919.659314,-254.29672,10004.55400,-59534.67260,47.08696,99529.86363115794666,co2_313K_1Bar
OPT_dag_sym_3_on_1_sym_7_mc_4_1B_2CH3,12.4748000000,2.5625157197,-20.77524,-25472.598360,-9545.91392,-1429.165853,-807.90192,2927.52337,-37255.58005,50.82467,99529.86363115794666,co2_313K_1Bar
OPT_dag_sym_3_on_1_sym_7_mc_4_2B_2CF3,11.0456000000,0.8801959505,-16.73337,-15256.914014,-6199.62495,-323.781357,-139.25003,2441.73625,-21919.57036,16.12951,99529.86363115794666,co2_313K_1Bar
OPT_dag_sym_3_on_2_sym_7_mc_4_1B_2CH3,11.1628000000,2.3042345367,-22.49410,-21147.617267,-7268.46184,-1181.482821,-453.85231,4548.48030,-30051.41424,45.59968,99529.86363115794666,co2_313K_1Bar
OPT_dag_sym_3_on_2_sym_7_mc_4_2B_2F,8.2280000000,1.0651701914,-14.59675,-8361.597870,-3858.40903,-138.184884,-44.45112,1947.15010,-12402.64290,11.74915,99529.86363115794666,co2_313K_1Bar
OPT_ddi_sym_8_mc_9_1B_2CF3,,,,,,,,,,,,co2_313K_1Bar
OPT_edq_sym_3_on_1_sym_7_mc_4_1B_2Br_1B_2Br,18.6196000000,0.9600276817,-17.96679,-28053.791691,-7006.70344,-642.964579,-202.46349,5467.77351,-35905.92319,28.84213,99529.86363115794666,co2_313K_1Bar
OPT_edq_sym_3_on_1_sym_7_mc_4_1B_2OH_1B_2OH,24.0344000000,2.0286789795,-17.93808,-32496.223833,-17595.79106,-1046.766362,-376.20374,5643.59238,-51514.98499,36.69148,99529.86363115794666,co2_313K_1Bar
OPT_edq_sym_3_on_1_sym_7_mc_4_2B_2CF3_2B_2CF3,24.6100000000,0.7986971907,-14.26780,-31661.632691,-14255.00798,-388.160397,-110.94729,3972.89532,-46415.74837,13.13547,99529.86363115794666,co2_313K_1Bar
OPT_edq_sym_3_on_1_sym_7_mc_4_ntn_edge_1B_2F,331.4676000000,6.1780651164,-29.91393,-687542.199105,-413741.73263,-75371.066978,-26892.39746,99441.11574,-1203547.39617,282.58301,99529.86363115794666,co2_313K_1Bar
OPT_edq_sym_3_on_2_sym_7_mc_4_1B_2CN_ntn_edge,34.8756000000,3.0743634773,-21.71495,-57037.224475,-28978.58289,-3471.571503,-1099.24864,7890.59553,-90586.62750,75.32776,99529.86363115794666,co2_313K_1Bar
OPT_edq_sym_3_on_2_sym_7_mc_4_1B_4Br_1B_4Br,25.2856000000,0.8782408795,-18.63276,-41128.320848,-11569.99662,-1075.336905,-366.74597,7427.90258,-54140.40034,39.20414,99529.86363115794666,co2_313K_1Bar
OPT_edq_sym_3_on_2_sym_7_mc_4_2B_2OH_2B_2OH,27.8048000000,1.5225598178,-15.44453,-32678.127849,-17922.05083,-567.838152,-182.14573,6191.31672,-51350.16256,14.48511,99529.86363115794666,co2_313K_1Bar
OPT_edq_sym_3_on_2_sym_7_mc_4_ntn_edge_1B_2SH,234.8392000000,4.2096818076,-27.09367,-604930.905046,-157514.76950,-35478.627552,-10230.42082,87566.79419,-808154.72292,192.63626,99529.86363115794666,co2_313K_1Bar
OPT_eea_sym_6_mc_3_sym_3_on_2_1B_2NO2,23.3844000000,1.5388782496,-19.44826,-34612.852741,-16433.50416,-1218.160217,-224.67978,7674.44352,-52489.19689,34.76370,99529.86363115794666,co2_313K_1Bar
OPT_fcu_sym_12_mc_11_1B_2OH,228.9272000000,3.8544015645,-33.35691,-550926.431658,-210984.61721,-51335.652261,-15405.89110,92943.61658,-828652.59223,224.29084,99529.86363115794666,co2_313K_1Bar
OPT_fcu_sym_12_mc_11_2B_4Br,17.8484000000,0.7553118931,-22.78847,-41709.002714,-2308.21313,-876.347086,-226.00444,5293.76803,-45119.56737,66.65190,99529.86363115794666,co2_313K_1Bar
OPT_flu_sym_8_mc_9_1AN_C_1B_4H,75.8200000000,2.6263259578,-24.29367,-154550.689588,-42981.92131,-7698.769660,-2245.82103,39603.95344,-207477.20159,114.54170,99529.86363115794666,co2_313K_1Bar
OPT_flu_sym_8_mc_9_1AN_C_2B_4H,11.1152000000,1.1515496586,-17.25056,-15595.167491,-5098.62391,-252.424935,-72.21196,2895.56496,-21018.42829,23.28258,99529.86363115794666,co2_313K_1Bar
OPT_fog_sym_5_mc_2_sym_3_on_2_1B_2OH_1B_2OH,11.0216000000,1.2322849657,-16.18914,-12257.286672,-5622.42161,-207.354503,-42.51102,2849.04045,-18129.57381,17.57162,99529.86363115794666,co2_313K_1Bar
OPT_fog_sym_5_mc_2_sym_3_on_2_2B_2CN_2B_2CN,18.5596000000,1.2028158111,-13.78519,-18262.473993,-6854.95827,-251.998477,-82.06077,3997.72693,-25451.49151,9.67980,99529.86363115794666,co2_313K_1Bar
OPT_fog_sym_5_mc_2_sym_3_on_2_ntn_edge_1B_2NO2,11.7920000000,1.1722779020,-16.23446,-14428.263805,-5290.94615,-311.077147,-56.10288,3024.20891,-20086.38998,26.36997,99529.86363115794666,co2_313K_1Bar
OPT_fsc_sym_6_mc_3_sym_5_on_11_1B_2NO2_1B_2NO2,19.0376000000,1.5153776485,-18.09205,-27065.738828,-9011.61964,-951.172922,-260.50214,4577.81148,-37289.03353,45.64767,99529.86363115794666,co2_313K_1Bar
OPT_fsc_sym_6_mc_3_sym_5_on_11_2B_2NH2_2B_2NH2,9.7252000000,1.3498480652,-15.86089,-26358.956918,-7604.20060,-368.231366,-97.57217,4041.47827,-34428.96106,19.25723,99529.86363115794666,co2_313K_1Bar
OPT_ftw_sym_12_mc_11_sym_5_on_11_1B_2CH3,78.0064000000,3.1949570064,-24.02754,-177012.195250,-21217.15715,-10524.087602,-3360.23977,36415.15089,-212113.67977,114.32628,99529.86363115794666,co2_313K_1Bar
