MOF_name,molecule,fugacity,loading
OPT_acs_sym_7_mc_4_1B_2Br,H2,499640.89963272936,1.4440502273
OPT_acs_sym_7_mc_4_2B_2CH3,H2,499640.89963272936,2.1966337191
OPT_act_sym_6_mc_3_sym_3_on_2_1B_2CH3_1B_2CH3,H2,499640.89963272936,2.5979612126
OPT_act_sym_6_mc_3_sym_3_on_2_1B_2SH_1B_2SH,H2,499640.89963272936,2.3633265318
OPT_act_sym_6_mc_3_sym_3_on_2_ntn_edge_1B_4Br,H2,499640.89963272936,1.308833632
OPT_apo_sym_6_mc_3_sym_3_on_1_1B_4F,H2,499640.89963272936,1.598018129
OPT_apo_sym_6_mc_3_sym_3_on_2_1B_2CF3,H2,499640.89963272936,1.5779138953
OPT_apo_sym_6_mc_3_sym_3_on_2_2B_2CF3,H2,499640.89963272936,1.8062778436
OPT_bcu_sym_8_mc_9_1B_2CH3,H2,499640.89963272936,1.395289716
OPT_bcu_sym_8_mc_9_2B_2OH,H2,499640.89963272936,1.5367365445
OPT_ceq_sym_3_on_1_sym_7_mc_4_1B_2NH2_ntn_edge,H2,499640.89963272936,2.1220509646
OPT_ceq_sym_3_on_1_sym_7_mc_4_2B_2Br_2B_2Br,H2,499640.89963272936,1.7016800517
OPT_ceq_sym_3_on_1_sym_7_mc_4_2B_4F_2B_4F,H2,499640.89963272936,2.0825892541
OPT_ceq_sym_3_on_2_sym_7_mc_4_1B_2NO2_ntn_edge,H2,499640.89963272936,2.0324656617
OPT_ceq_sym_3_on_2_sym_7_mc_4_2B_2F_2B_2F,H2,499640.89963272936,2.6391054353
OPT_csq_sym_5_on_9_sym_8_mc_9_1B_2CN,H2,499640.89963272936,1.6566336925
OPT_csq_sym_5_on_9_sym_8_mc_9_2B_2CH3,H2,499640.89963272936,2.4465127876
OPT_csq_sym_8_mc_9_sym_5_on_11_1B_2CN,H2,499640.89963272936,2.1444404255
OPT_csq_sym_8_mc_9_sym_5_on_11_2B_2F,H2,499640.89963272936,2.3691133323
OPT_cut_sym_8_mc_9_sym_3_on_2_1B_2CH3_ntn_edge,H2,499640.89963272936,2.1343853054
OPT_cut_sym_8_mc_9_sym_3_on_2_1B_4Br_ntn_edge,H2,499640.89963272936,1.1665049457
OPT_cut_sym_8_mc_9_sym_3_on_2_2B_2NH2_2B_2NH2,H2,499640.89963272936,2.8876184072
OPT_cut_sym_8_mc_9_sym_3_on_2_ntn_edge_1B_2F,H2,499640.89963272936,1.3870767134
OPT_dag_sym_3_on_1_sym_7_mc_4_1B_2CH3,H2,499640.89963272936,2.6011748933
OPT_dag_sym_3_on_1_sym_7_mc_4_2B_2CF3,H2,499640.89963272936,1.7357126907
OPT_dag_sym_3_on_2_sym_7_mc_4_1B_2CH3,H2,499640.89963272936,2.5793315882
OPT_dag_sym_3_on_2_sym_7_mc_4_2B_2F,H2,499640.89963272936,2.7831908051
OPT_ddi_sym_8_mc_9_1B_2CF3,H2,499640.89963272936,0.8752115359
OPT_edq_sym_3_on_1_sym_7_mc_4_1B_2Br_1B_2Br,H2,499640.89963272936,1.5276987794
OPT_edq_sym_3_on_1_sym_7_mc_4_1B_2OH_1B_2OH,H2,499640.89963272936,2.4612748687
OPT_edq_sym_3_on_1_sym_7_mc_4_2B_2CF3_2B_2CF3,H2,499640.89963272936,1.8766949919
OPT_edq_sym_3_on_1_sym_7_mc_4_ntn_edge_1B_2F,H2,499640.89963272936,2.7002181438
OPT_edq_sym_3_on_2_sym_7_mc_4_1B_2CN_ntn_edge,H2,499640.89963272936,2.0480418019
OPT_edq_sym_3_on_2_sym_7_mc_4_1B_4Br_1B_4Br,H2,499640.89963272936,1.1396715466
OPT_edq_sym_3_on_2_sym_7_mc_4_2B_2OH_2B_2OH,H2,499640.89963272936,3.1953999168
OPT_edq_sym_3_on_2_sym_7_mc_4_ntn_edge_1B_2SH,H2,499640.89963272936,2.8559751735
OPT_eea_sym_6_mc_3_sym_3_on_2_1B_2NO2,H2,499640.89963272936,1.7891522729
OPT_fcu_sym_12_mc_11_1B_2OH,H2,499640.89963272936,1.9650650626
OPT_fcu_sym_12_mc_11_2B_4Br,H2,499640.89963272936,0.8370325402
OPT_flu_sym_8_mc_9_1AN_C_1B_4H,H2,499640.89963272936,1.9155691347
OPT_flu_sym_8_mc_9_1AN_C_2B_4H,H2,499640.89963272936,2.2010623534
OPT_fog_sym_5_mc_2_sym_3_on_2_1B_2OH_1B_2OH,H2,499640.89963272936,2.4883064214
OPT_fog_sym_5_mc_2_sym_3_on_2_2B_2CN_2B_2CN,H2,499640.89963272936,3.4012359097
OPT_fog_sym_5_mc_2_sym_3_on_2_ntn_edge_1B_2NO2,H2,499640.89963272936,1.9918385383
OPT_fsc_sym_6_mc_3_sym_5_on_11_1B_2NO2_1B_2NO2,H2,499640.89963272936,1.6885377389
OPT_fsc_sym_6_mc_3_sym_5_on_11_2B_2NH2_2B_2NH2,H2,499640.89963272936,2.568024456
OPT_ftw_sym_12_mc_11_sym_5_on_11_1B_2CH3,H2,499640.89963272936,2.4702773353
OPT_ftw_sym_12_mc_11_sym_5_on_11_2B_2CH3,H2,499640.89963272936,2.7510168172
OPT_ftw_sym_5_on_9_sym_12_mc_11_ntn_edge,H2,499640.89963272936,1.7408432364
OPT_hwx_sym_3_on_1_sym_7_mc_4_1B_4CN,H2,499640.89963272936,1.8300987402
OPT_hwx_sym_3_on_1_sym_7_mc_4_2B_4Br,H2,499640.89963272936,1.1084280601
OPT_hwx_sym_3_on_2_sym_7_mc_4_2B_2CN,H2,499640.89963272936,2.755192622
OPT_ibe_sym_6_mc_3_sym_3_on_2_1B_2CF3_1B_2CF3,H2,499640.89963272936,1.6261838976
OPT_ibe_sym_6_mc_3_sym_3_on_2_1B_2NO2_ntn_edge,H2,499640.89963272936,1.7591395159
OPT_ibe_sym_6_mc_3_sym_3_on_2_1B_4H_ntn_edge,H2,499640.89963272936,2.4972500237
OPT_ibe_sym_6_mc_3_sym_3_on_2_ntn_edge_ntn_edge,H2,499640.89963272936,2.2033523809
OPT_kkm_sym_6_mc_3_sym_3_on_2_1B_2OH_ntn_edge,H2,499640.89963272936,1.9677344604
OPT_kkm_sym_6_mc_3_sym_3_on_2_2B_2CF3_2B_2CF3,H2,499640.89963272936,1.5735063026
OPT_kkm_sym_6_mc_3_sym_3_on_2_ntn_edge_1B_2CF3,H2,499640.89963272936,1.4322778473
OPT_lil_sym_5_mc_2_sym_3_on_2_1B_2CF3_ntn_edge,H2,499640.89963272936,1.7665213166
OPT_lil_sym_5_mc_2_sym_3_on_2_1B_2OH_ntn_edge,H2,499640.89963272936,2.4949567641
OPT_lil_sym_5_mc_2_sym_3_on_2_2B_2Br_2B_2Br,H2,499640.89963272936,2.0736035815
OPT_lil_sym_5_mc_2_sym_3_on_2_2B_4CN_2B_4CN,H2,499640.89963272936,2.491986927
OPT_lil_sym_5_mc_2_sym_3_on_2_ntn_edge_ntn_edge,H2,499640.89963272936,2.1197704997
OPT_lnj_sym_3_on_1_sym_7_mc_4_1B_2CF3_1B_2CF3,H2,499640.89963272936,1.7119320218
OPT_lnj_sym_3_on_1_sym_7_mc_4_1B_2OH_ntn_edge,H2,499640.89963272936,2.3246999408
OPT_lnj_sym_3_on_1_sym_7_mc_4_1B_4H_ntn_edge,H2,499640.89963272936,2.4265008578
OPT_lnj_sym_3_on_1_sym_7_mc_4_2B_2NO2_ntn_edge,H2,499640.89963272936,1.9262595181
OPT_lnj_sym_3_on_1_sym_7_mc_4_ntn_edge_1B_2Br,H2,499640.89963272936,1.9989611012
OPT_lnj_sym_3_on_1_sym_7_mc_4_ntn_edge_1B_4F,H2,499640.89963272936,2.0044580319
OPT_lnj_sym_3_on_1_sym_7_mc_4_ntn_edge_2B_4Br,H2,499640.89963272936,1.3480235943
OPT_lnj_sym_3_on_2_sym_7_mc_4_1B_2CN_ntn_edge,H2,499640.89963272936,2.6198976097
OPT_lnj_sym_3_on_2_sym_7_mc_4_1B_4CN_1B_4CN,H2,499640.89963272936,2.2666105534
OPT_lnj_sym_3_on_2_sym_7_mc_4_2B_2F_2B_2F,H2,499640.89963272936,3.2514312619
OPT_lnj_sym_3_on_2_sym_7_mc_4_2B_4H_2B_4H,H2,499640.89963272936,4.4886753172
OPT_lnj_sym_3_on_2_sym_7_mc_4_ntn_edge_1B_4Br,H2,499640.89963272936,1.7955703515
OPT_lnj_sym_3_on_2_sym_7_mc_4_ntn_edge_2B_2SH,H2,499640.89963272936,2.7119428022
OPT_lvtb_sym_5_mc_2_sym_5_on_11_1B_2OH,H2,499640.89963272936,2.2935573867
OPT_lvtb_sym_5_mc_2_sym_5_on_11_2B_2OH,H2,499640.89963272936,3.0013148564
OPT_lvtb_sym_5_mc_2_sym_5_on_9_1B_2SH,H2,499640.89963272936,1.9722425488
OPT_lvtb_sym_5_mc_2_sym_5_on_9_2B_2OH,H2,499640.89963272936,2.617513935
OPT_lvtb_sym_5_on_9_sym_5_mc_2_1B_2OH,H2,499640.89963272936,2.1578810193
OPT_lvtb_sym_5_on_9_sym_5_mc_2_2B_2OH,H2,499640.89963272936,2.8067293847
OPT_mcn_sym_6_mc_3_sym_3_on_1_1B_4CN_1B_4CN_1B_4CN,H2,499640.89963272936,1.9044212957
OPT_mcn_sym_6_mc_3_sym_3_on_1_2B_4F_2B_4F_2B_4F,H2,499640.89963272936,2.0323358696
OPT_mcn_sym_6_mc_3_sym_3_on_2_1B_2CN_1B_2CN_1B_2CN,H2,499640.89963272936,2.165513966
OPT_mcn_sym_6_mc_3_sym_3_on_2_1B_2OH_1B_2OH_1B_2OH,H2,499640.89963272936,2.1866919675
OPT_mcn_sym_6_mc_3_sym_3_on_2_1B_4CN_1B_4CN_ntn_edge,H2,499640.89963272936,1.8578236452
OPT_mcn_sym_6_mc_3_sym_3_on_2_2B_2Br_ntn_edge_2B_2Br,H2,499640.89963272936,1.470523871
OPT_mcn_sym_6_mc_3_sym_3_on_2_2B_2CN_ntn_edge_ntn_edge,H2,499640.89963272936,2.0068087874
OPT_mcn_sym_6_mc_3_sym_3_on_2_2B_2NO2_ntn_edge_ntn_edge,H2,499640.89963272936,1.5982179682
OPT_mcn_sym_6_mc_3_sym_3_on_2_2B_4Br_ntn_edge_ntn_edge,H2,499640.89963272936,1.3798105931
OPT_mcn_sym_6_mc_3_sym_3_on_2_ntn_edge_1B_2Br_ntn_edge,H2,499640.89963272936,1.6655510408
OPT_mcn_sym_6_mc_3_sym_3_on_2_ntn_edge_1B_2OH_1B_2OH,H2,499640.89963272936,2.3324472006
OPT_mcn_sym_6_mc_3_sym_3_on_2_ntn_edge_2B_2CF3_2B_2CF3,H2,499640.89963272936,1.4901797073
OPT_mcn_sym_6_mc_3_sym_3_on_2_ntn_edge_2B_4CN_2B_4CN,H2,499640.89963272936,1.9898420549
OPT_mcn_sym_6_mc_3_sym_3_on_2_ntn_edge_ntn_edge_1B_2NO2,H2,499640.89963272936,1.8473339395
OPT_mrc_sym_6_mc_3_1AN_C_1B_2Br_1B_2Br,H2,499640.89963272936,1.4856245416
OPT_mrc_sym_6_mc_3_1AN_C_1B_2OH_1B_2OH,H2,499640.89963272936,2.2708853236
OPT_mrc_sym_6_mc_3_1AN_C_1B_4H_ntn_edge,H2,499640.89963272936,2.2022857555
OPT_nbob_sym_5_mc_2_1B_2Br,H2,499640.89963272936,1.2620854151
OPT_nbob_sym_5_mc_2_1B_4H,H2,499640.89963272936,1.7469755869
OPT_nbob_sym_5_mc_2_2B_4H,H2,499640.89963272936,3.0324355327
OPT_nbob_sym_5_mc_2_sym_5_on_11_1B_4F,H2,499640.89963272936,1.8129645265
OPT_nbob_sym_5_mc_2_sym_5_on_9_1B_2Br,H2,499640.89963272936,1.4333668825
OPT_nbob_sym_5_mc_2_sym_5_on_9_2B_2Br,H2,499640.89963272936,1.4980144757
OPT_nbob_sym_5_mc_2_sym_5_on_9_2B_4CN,H2,499640.89963272936,1.9078713834
OPT_nbob_sym_5_on_9_sym_5_mc_2_1B_2OH,H2,499640.89963272936,2.104381751
OPT_nbob_sym_5_on_9_sym_5_mc_2_2B_2NH2,H2,499640.89963272936,2.7031708028
OPT_pcu_sym_6_mc_3_1B_2NO2,H2,499640.89963272936,1.4008877359
OPT_pcu_sym_6_mc_3_2B_2CN,H2,499640.89963272936,2.0527943096
OPT_phx_sym_5_mc_2_sym_3_on_2_1B_2NH2_1B_2NH2,H2,499640.89963272936,2.4564230557
OPT_pts_sym_5_mc_2_1AN_C_1B_2F,H2,499640.89963272936,1.5661237427
OPT_pts_sym_5_mc_2_1AN_C_2B_2NH2,H2,499640.89963272936,2.6205397182
OPT_pyr_sym_6_mc_3_sym_3_on_1_1B_4Br,H2,499640.89963272936,1.1511327597
OPT_pyr_sym_6_mc_3_sym_3_on_1_2B_4Br,H2,499640.89963272936,1.0769157415
OPT_pyr_sym_6_mc_3_sym_3_on_2_2B_2CF3,H2,499640.89963272936,1.7357644637
OPT_qza_sym_5_mc_2_sym_3_on_2_1B_2CF3_1B_2CF3,H2,499640.89963272936,1.6949980971
OPT_qza_sym_5_mc_2_sym_3_on_2_1B_4H_1B_4H,H2,499640.89963272936,2.8535943468
OPT_reo_sym_8_mc_9_1B_2Br,H2,499640.89963272936,0.9746778026
OPT_reo_sym_8_mc_9_2B_2Br,H2,499640.89963272936,1.1631367086
OPT_rhrb_sym_5_mc_2_1B_2CH3,H2,499640.89963272936,2.333982741
OPT_rhrb_sym_5_mc_2_2B_2CH3,H2,499640.89963272936,3.0905486913
OPT_rhrb_sym_5_mc_2_sym_5_on_11_1B_2CN,H2,499640.89963272936,2.7257042842
OPT_rhrb_sym_5_mc_2_sym_5_on_11_2B_2CN,H2,499640.89963272936,3.4408557916
OPT_rhrb_sym_5_mc_2_sym_5_on_9_1B_2NH2,H2,499640.89963272936,2.3025193031
OPT_rhrb_sym_5_mc_2_sym_5_on_9_2B_2CH3,H2,499640.89963272936,3.1362414127
OPT_rhrb_sym_5_on_9_sym_5_mc_2_1B_2NO2,H2,499640.89963272936,1.7002282303
OPT_rhrb_sym_5_on_9_sym_5_mc_2_2B_2SH,H2,499640.89963272936,2.5950902607
OPT_rtl_sym_6_mc_3_sym_3_on_1_1B_2SH,H2,499640.89963272936,2.0523696351
OPT_rtl_sym_6_mc_3_sym_3_on_1_2B_4Br,H2,499640.89963272936,1.1800569674
OPT_rtl_sym_6_mc_3_sym_3_on_2_1B_2NO2,H2,499640.89963272936,1.8175134212
OPT_rtl_sym_6_mc_3_sym_3_on_2_2B_2NO2,H2,499640.89963272936,2.1802899866
OPT_scu_sym_8_mc_9_sym_5_on_11_1B_2CN,H2,499640.89963272936,2.0507472776
OPT_scu_sym_8_mc_9_sym_5_on_11_2B_2NH2,H2,499640.89963272936,2.3339074771
OPT_scu_sym_8_mc_9_sym_5_on_9_1B_2F,H2,499640.89963272936,1.6840326291
OPT_scu_sym_8_mc_9_sym_5_on_9_2B_2CH3,H2,499640.89963272936,2.4529593513
OPT_sit_sym_3_on_1_sym_7_mc_4_1B_2NO2,H2,499640.89963272936,1.7937648472
OPT_sit_sym_3_on_1_sym_7_mc_4_2B_2NO2,H2,499640.89963272936,1.9178545435
OPT_sit_sym_3_on_2_sym_7_mc_4_1B_2F,H2,499640.89963272936,2.2312984132
OPT_sit_sym_3_on_2_sym_7_mc_4_2B_2NO2,H2,499640.89963272936,2.1284700889
OPT_sqca_sym_8_mc_9_sym_3_on_2_1B_2NO2_1B_2NO2,H2,499640.89963272936,1.6055415596
OPT_ssa_sym_5_mc_2_1B_2NH2,H2,499640.89963272936,2.067240087
OPT_ssa_sym_5_mc_2_2B_2SH,H2,499640.89963272936,2.5037616011
OPT_ssa_sym_5_mc_2_sym_5_on_11_1B_2SH,H2,499640.89963272936,2.4703789263
OPT_ssa_sym_5_mc_2_sym_5_on_11_2B_4CN,H2,499640.89963272936,2.689674756
OPT_ssa_sym_5_mc_2_sym_5_on_9_1B_2SH,H2,499640.89963272936,1.9230081049
OPT_ssa_sym_5_mc_2_sym_5_on_9_2B_2OH,H2,499640.89963272936,2.8143785199
OPT_ssa_sym_5_on_9_sym_5_mc_2_1B_4Br,H2,499640.89963272936,0.8147285021
OPT_stp_sym_5_on_9_sym_7_mc_4_1B_2CN,H2,499640.89963272936,2.6672795672
OPT_stp_sym_5_on_9_sym_7_mc_4_2B_2CF3,H2,499640.89963272936,1.6065858222
OPT_stp_sym_5_on_9_sym_7_mc_4_ntn_edge,H2,499640.89963272936,1.2081867297
OPT_stp_sym_7_mc_4_sym_5_on_11_2B_2Br,H2,499640.89963272936,1.8110054688
OPT_stp_sym_7_mc_4_sym_5_on_11_2B_4CN,H2,499640.89963272936,2.4179532973
OPT_stu_sym_5_mc_2_sym_3_on_2_1B_2SH_1B_2SH,H2,499640.89963272936,2.6536237793
OPT_stu_sym_5_mc_2_sym_3_on_2_2B_2NO2_2B_2NO2,H2,499640.89963272936,2.6800664481
OPT_stx_sym_5_mc_2_sym_3_on_2_1B_2CN_1B_2CN,H2,499640.89963272936,2.3878277669
OPT_stx_sym_5_mc_2_sym_3_on_2_1B_2SH_1B_2SH,H2,499640.89963272936,2.4640830907
OPT_stx_sym_5_mc_2_sym_3_on_2_2B_2NO2_2B_2NO2,H2,499640.89963272936,2.5396186685
OPT_stx_sym_5_mc_2_sym_3_on_2_ntn_edge_1B_2SH,H2,499640.89963272936,2.3882169846
OPT_sty_sym_5_mc_2_sym_3_on_2_1B_2NO2_ntn_edge,H2,499640.89963272936,1.9703901871
OPT_sty_sym_5_mc_2_sym_3_on_2_ntn_edge_1B_2SH,H2,499640.89963272936,2.1120017631
OPT_sur_sym_5_mc_2_sym_3_on_2_1B_2OH_1B_2OH,H2,499640.89963272936,2.4210548965
OPT_svnd_sym_6_mc_3_sym_3_on_2_1B_2Br_1B_2Br,H2,499640.89963272936,1.6285109042
OPT_svnd_sym_6_mc_3_sym_3_on_2_ntn_edge_ntn_edge,H2,499640.89963272936,2.5006241864
OPT_tfk_sym_5_mc_2_sym_3_on_2_1B_4F_1B_4F,H2,499640.89963272936,1.942133932
OPT_tfk_sym_5_mc_2_sym_3_on_2_2B_4CN_2B_4CN,H2,499640.89963272936,2.3070535129
OPT_the_sym_8_mc_9_sym_3_on_1_1B_4Br,H2,499640.89963272936,1.0152658777
OPT_the_sym_8_mc_9_sym_3_on_1_2B_4CN,H2,499640.89963272936,1.8347212559
OPT_the_sym_8_mc_9_sym_3_on_2_1B_4CN,H2,499640.89963272936,1.8248054063
