MOF_name,Load [molecules/UC],Load [mol/kg framework],Enthalpy_Ads [KJ/mol],Host_Ads_vdW [K],Host_Ads_Coul [K],Ads_Ads_vdW [K],Ads_Ads_Coul [K],Ave_Heat_Cap [J/mol/K],Total_E [K],Ave_Dens [kg/m3],Fugacity [Pa],Molecule
OPT_acs_sym_7_mc_4_1B_2Br,409.5465000000,22.4984580078,-3.96339,-188305.475840,0.00000,-30605.914854,-1609.24779,7599.61401,-220520.63848,49.37030,8016139.59684940520674,h2_77K_100Bar
OPT_acs_sym_7_mc_4_2B_2CH3,1000.0325000000,58.9118512570,-3.36919,-306350.153915,0.00000,-79310.009862,-3619.12720,39303.76210,-389279.29097,49.91485,8016139.59684940520674,h2_77K_100Bar
OPT_act_sym_6_mc_3_sym_3_on_2_1B_2CH3_1B_2CH3,1580.5665000000,63.8116917904,-3.76512,-532096.425797,0.00000,-131655.480541,-6037.14452,75729.06525,-669789.05085,54.08779,8016139.59684940520674,h2_77K_100Bar
OPT_act_sym_6_mc_3_sym_3_on_2_1B_2SH_1B_2SH,1576.3270000000,54.1723076069,-3.84534,-541056.166223,0.00000,-130497.309399,-5973.02552,50865.26946,-677526.50114,53.90500,8016139.59684940520674,h2_77K_100Bar
OPT_act_sym_6_mc_3_sym_3_on_2_ntn_edge_1B_4Br,183.4680000000,8.4658318953,-5.95917,-147869.640331,0.00000,-6670.066151,-611.61965,3048.50780,-155151.32614,30.27626,8016139.59684940520674,h2_77K_100Bar
OPT_apo_sym_6_mc_3_sym_3_on_1_1B_4F,602.4745000000,47.4794808656,-3.65932,-167269.379393,0.00000,-47907.457980,-2088.66415,31973.00073,-217265.50152,51.24090,8016139.59684940520674,h2_77K_100Bar
OPT_apo_sym_6_mc_3_sym_3_on_2_1B_2CF3,593.9440000000,37.7938296461,-3.61828,-203192.288124,0.00000,-47501.981777,-2155.09915,14873.54431,-252849.36905,49.97413,8016139.59684940520674,h2_77K_100Bar
OPT_apo_sym_6_mc_3_sym_3_on_2_2B_2CF3,734.2250000000,56.7061186400,-2.69500,-164555.017027,0.00000,-53284.658804,-2239.59611,21344.29821,-220079.27194,45.62244,8016139.59684940520674,h2_77K_100Bar
OPT_bcu_sym_8_mc_9_1B_2CH3,327.7675000000,12.8990853626,-4.48164,-219369.371213,0.00000,-15746.116780,-1256.89993,5076.86758,-236372.38793,34.99188,8016139.59684940520674,h2_77K_100Bar
OPT_bcu_sym_8_mc_9_2B_2OH,965.0695000000,29.6208669935,-4.09670,-386864.184124,0.00000,-77434.164611,-4030.04052,21792.69232,-468328.38926,49.06686,8016139.59684940520674,h2_77K_100Bar
OPT_ceq_sym_3_on_1_sym_7_mc_4_1B_2NH2_ntn_edge,650.3735000000,33.6883069024,-4.11524,-279463.659645,0.00000,-51903.786503,-2701.35143,11637.18541,-334068.79758,51.23867,8016139.59684940520674,h2_77K_100Bar
OPT_ceq_sym_3_on_1_sym_7_mc_4_2B_2Br_2B_2Br,531.9880000000,52.1741321741,-2.51421,-120294.286635,0.00000,-40025.053463,-1753.46450,15146.14406,-162072.80460,47.99092,8016139.59684940520674,h2_77K_100Bar
OPT_ceq_sym_3_on_1_sym_7_mc_4_2B_4F_2B_4F,502.0140000000,70.6411460672,-2.46048,-94753.259644,0.00000,-35741.323630,-1406.92968,14438.85384,-131901.51296,44.96176,8016139.59684940520674,h2_77K_100Bar
OPT_ceq_sym_3_on_2_sym_7_mc_4_1B_2NO2_ntn_edge,617.3500000000,28.0082742081,-4.42668,-283993.154901,0.00000,-45044.510927,-2474.98074,11627.96591,-331512.64656,47.15985,8016139.59684940520674,h2_77K_100Bar
OPT_ceq_sym_3_on_2_sym_7_mc_4_2B_2F_2B_2F,523.5555000000,90.3703957431,-2.35197,-99043.924814,0.00000,-38200.645954,-1518.71983,12949.16504,-138763.29060,46.14985,8016139.59684940520674,h2_77K_100Bar
OPT_csq_sym_5_on_9_sym_8_mc_9_1B_2CN,543.2120000000,25.9196204206,-2.57557,-207206.826643,0.00000,-34622.251318,-1747.02847,16002.27704,-243576.10643,39.14145,8016139.59684940520674,h2_77K_100Bar
OPT_csq_sym_5_on_9_sym_8_mc_9_2B_2CH3,1012.0690000000,56.4880284355,-2.48266,-287170.097386,0.00000,-70575.359883,-3273.69476,49035.60284,-361019.15203,42.32155,8016139.59684940520674,h2_77K_100Bar
OPT_csq_sym_8_mc_9_sym_5_on_11_1B_2CN,584.6180000000,37.8115114208,-2.45349,-198176.422106,0.00000,-39967.133717,-1917.68095,17551.06567,-240061.23677,42.80904,8016139.59684940520674,h2_77K_100Bar
OPT_csq_sym_8_mc_9_sym_5_on_11_2B_2F,1396.4210000000,69.2420148925,-2.15604,-296500.357838,0.00000,-99792.204697,-4202.71645,34631.06903,-400495.27899,43.29680,8016139.59684940520674,h2_77K_100Bar
OPT_cut_sym_8_mc_9_sym_3_on_2_1B_2CH3_ntn_edge,690.7540000000,37.4581787684,-3.39479,-269453.419226,0.00000,-52468.690687,-2576.00656,15106.64147,-324498.11648,48.03953,8016139.59684940520674,h2_77K_100Bar
OPT_cut_sym_8_mc_9_sym_3_on_2_1B_4Br_ntn_edge,668.6335000000,18.1484115828,-3.41140,-277769.997147,0.00000,-50961.049192,-2530.31336,11626.56692,-331261.35970,46.01852,8016139.59684940520674,h2_77K_100Bar
OPT_cut_sym_8_mc_9_sym_3_on_2_2B_2NH2_2B_2NH2,652.1380000000,90.7158847149,-2.30717,-130420.707176,0.00000,-45555.452329,-1968.53863,18081.94983,-177944.69813,43.18027,8016139.59684940520674,h2_77K_100Bar
OPT_cut_sym_8_mc_9_sym_3_on_2_ntn_edge_1B_2F,575.6675000000,28.2848332090,-3.90604,-203145.102276,0.00000,-43742.532189,-2188.17160,15502.95134,-249075.80606,47.07766,8016139.59684940520674,h2_77K_100Bar
OPT_dag_sym_3_on_1_sym_7_mc_4_1B_2CH3,277.3605000000,56.9741111107,-3.89337,-92971.551706,0.00000,-22520.208280,-1056.35985,11843.65893,-116548.11984,51.77373,8016139.59684940520674,h2_77K_100Bar
OPT_dag_sym_3_on_1_sym_7_mc_4_2B_2CF3,659.6920000000,52.5691883649,-2.52292,-148269.591943,0.00000,-46415.476510,-1915.79132,22083.95731,-196600.85978,44.13641,8016139.59684940520674,h2_77K_100Bar
OPT_dag_sym_3_on_2_sym_7_mc_4_1B_2CH3,270.3575000000,55.8074218609,-3.50699,-91730.791341,0.00000,-21443.315720,-996.32779,7472.84360,-114170.43485,50.60005,8016139.59684940520674,h2_77K_100Bar
OPT_dag_sym_3_on_2_sym_7_mc_4_2B_2F,698.5930000000,90.4375837996,-2.33653,-132092.350712,0.00000,-50688.476682,-2125.57308,20661.60099,-184906.40047,45.70462,8016139.59684940520674,h2_77K_100Bar
OPT_ddi_sym_8_mc_9_1B_2CF3,289.6940000000,8.9637280823,-4.34822,-189757.718138,0.00000,-13697.586616,-1006.95913,4429.96990,-204462.26389,29.18388,8016139.59684940520674,h2_77K_100Bar
OPT_edq_sym_3_on_1_sym_7_mc_4_1B_2Br_1B_2Br,728.6100000000,37.5671748659,-3.09362,-234821.739234,0.00000,-58573.703544,-2703.58047,16963.85240,-296099.02325,51.71017,8016139.59684940520674,h2_77K_100Bar
OPT_edq_sym_3_on_1_sym_7_mc_4_1B_2OH_1B_2OH,727.9235000000,61.4420623425,-3.11699,-205008.843391,0.00000,-57459.013482,-2610.76129,22262.19454,-265078.61816,50.91450,8016139.59684940520674,h2_77K_100Bar
OPT_edq_sym_3_on_1_sym_7_mc_4_2B_2CF3_2B_2CF3,1796.1360000000,58.2921079778,-2.50440,-382605.546806,0.00000,-126926.100134,-5266.99195,62833.35527,-514798.63889,43.92350,8016139.59684940520674,h2_77K_100Bar
